participant;scenario;lateral;mmv_type;mmv_number;density;lateral_clearance;longitudinal_distance;average_speed;deceleration;acceleration;mean_acceleration;TTC;age;gender;Violations;Errors;Lapses;Aggressive;Positive;Q1;Q2;Q3;accident;age_group
30;1;0.000;Bike;1;A;0.951;16.088;1.041;-0.166;0.141;0.078;0.260;49;Female;0.250;0.250;0.000;0.000;3.000;1.500;1.500;0.500;1;adult
4;1;0.000;Bike;1;A;0.903;11.192;1.126;-0.371;0.183;0.094;0.273;47;Male;1.750;2.000;1.000;1.000;2.750;2.000;2.000;1.000;1;adult
32;1;0.000;Bike;1;A;1.019;17.151;1.103;-0.182;0.123;0.063;0.260;20;Female;4.000;2.500;3.000;0.500;2.250;5.000;6.500;6.500;1;young
8;1;0.000;Bike;1;A;1.013;24.189;0.982;-0.305;0.146;0.081;0.284;24;Male;2.750;1.250;1.750;0.000;2.250;2.000;2.500;1.000;0;young
16;1;0.000;Bike;1;A;0.897;24.609;1.162;-0.281;0.336;0.139;0.240;36;Male;2.500;0.500;0.250;0.000;2.500;1.000;1.000;0.000;1;adult
14;1;0.000;Bike;1;A;1.057;22.951;0.840;-0.250;0.143;0.080;0.300;20;Female;2.250;1.250;1.250;0.000;4.000;1.500;1.500;1.000;0;young
4;1;0.000;Bike;1;A;0.937;17.733;0.962;-0.278;0.085;0.056;0.262;47;Male;1.750;2.000;1.000;1.000;2.750;2.000;2.000;1.000;1;adult
24;1;0.000;Bike;1;A;0.807;23.542;1.022;-0.129;0.078;0.058;0.231;32;Male;0.250;0.250;0.000;0.000;3.500;1.000;1.000;0.000;0;young
17;1;0.000;Bike;1;A;0.739;18.344;1.221;-0.587;0.212;0.141;0.204;25;Male;1.250;1.000;0.000;0.250;3.250;4.000;3.500;2.000;1;young
12;1;0.000;Bike;1;A;1.221;17.240;1.133;-0.255;0.121;0.075;0.358;60;Female;3.500;1.000;0.000;0.750;2.750;2.500;2.500;3.000;0;adult
22;1;0.000;Bike;1;A;0.902;22.532;0.774;-0.143;0.233;0.069;0.275;29;Female;3.000;2.000;2.000;0.500;2.750;4.000;4.000;17.500;1;young
18;1;0.000;Bike;1;A;1.184;23.905;1.268;-0.187;0.089;0.059;0.314;37;Female;1.500;0.000;0.000;0.000;3.750;1.000;2.000;2.000;1;adult
25;1;0.000;Bike;1;A;1.143;24.417;1.175;-0.122;0.031;0.041;0.310;39;Male;1.000;0.750;0.000;0.750;4.000;3.500;4.000;4.000;1;adult
11;1;0.000;Bike;1;A;0.905;22.580;1.153;-0.180;0.131;0.089;0.256;62;Female;0.500;0.750;0.500;0.500;2.500;2.000;3.000;2.500;1;adult
32;1;0.000;Bike;1;A;0.874;23.246;1.156;-0.191;0.165;0.094;0.253;20;Female;4.000;2.500;3.000;0.500;2.250;5.000;6.500;6.500;1;young
26;1;0.000;Bike;1;A;0.908;21.592;0.860;-0.247;0.096;0.056;0.251;32;Female;2.500;0.750;0.250;0.500;3.500;2.000;3.000;4.500;1;young
